model_name,epochs,learning_rate,final_loss,final_accuracy,training_time,MSE,R2
pinn,small,1,0.3294,0.7846,0.3377,0.2746,0.2724
pinn,v1,1000,0.0013,0.9987,51.9739,0.0013,0.9965
