model_name,epochs,learning_rate,final_loss,final_accuracy,training_time,MSE,R2
pinn,small,1,0.1017,0.9795,0.7408,0.0209,0.9445
pinn,v1,10,0.0016,0.9992,16.7185,0.0008,0.9979
pinn,v1,1,0.0708,0.9774,1.1934,0.0231,0.9388
pinn,v2,1,0.2557,0.8047,1.5952,0.2426,0.3571
