model_name,epochs,learning_rate,final_loss,final_accuracy,training_time,MSE,R2
pinn,small,1,0.1413,0.9761,0.7928,0.0245,0.9352
pinn,v1,10,0.0016,0.9992,16.7185,0.0008,0.9979
pinn,v1,1,0.0907,0.9744,2.5614,0.0263,0.9303
